idx,ref_x,ref_y,road_id,section_id,lane_id,lane_width,left_drivable_width,right_drivable_width,left_boundary_x,left_boundary_y,right_boundary_x,right_boundary_y
50,37.767712,-64.412399,10,0,-1,3.5,1.75,5.25,37.768427,-62.662399,37.765565,-69.662399
51,35.767712,-64.411583,10,0,-1,3.5,1.75,5.25,35.768427,-62.661583,35.765565,-69.661583
52,33.767712,-64.410767,10,0,-1,3.5,1.75,5.25,33.768427,-62.660767,33.765565,-69.660766
53,31.767706,-64.40995,10,0,-1,3.5,1.75,5.25,31.768421,-62.65995,31.76556,-69.65995
54,29.76771,-64.409134,10,0,-1,3.5,1.75,5.25,29.768425,-62.659134,29.765564,-69.659134
55,27.76771,-64.408318,10,0,-1,3.5,1.75,5.25,27.768425,-62.658318,27.765564,-69.658317
56,25.76771,-64.407501,10,0,-1,3.5,1.75,5.25,25.768425,-62.657501,25.765564,-69.657501
57,23.76771,-64.406677,10,0,-1,3.5,1.75,5.25,23.768425,-62.656677,23.765564,-69.656677
58,21.76771,-64.405861,10,0,-1,3.5,1.75,5.25,21.768425,-62.655861,21.765564,-69.655861
59,19.76771,-64.405045,10,0,-1,3.5,1.75,5.25,19.768425,-62.655045,19.765564,-69.655044
60,17.76771,-64.404228,10,0,-1,3.5,1.75,5.25,17.768425,-62.654228,17.765564,-69.654228
61,15.76771,-64.403412,10,0,-1,3.5,1.75,5.25,15.768425,-62.653412,15.765564,-69.653412
62,13.76771,-64.402596,10,0,-1,3.5,1.75,5.25,13.768425,-62.652596,13.765564,-69.652595
63,11.76771,-64.401779,10,0,-1,3.5,1.75,5.25,11.768425,-62.651779,11.765564,-69.651779
64,9.76771,-64.400963,10,0,-1,3.5,1.75,5.25,9.768425,-62.650963,9.765564,-69.650963
65,7.76771,-64.400146,10,0,-1,3.5,1.75,5.25,7.768426,-62.650147,7.765564,-69.650146
66,5.777015,-64.403847,17,0,-1,3.5,1.75,5.25,5.76803,-62.65387,5.803968,-69.653778
67,3.788906,-64.420776,17,0,-1,3.5,1.75,5.25,3.768107,-62.6709,3.851305,-69.670406
68,1.79627,-64.450142,17,0,-1,3.5,1.75,5.25,1.768325,-62.700365,1.880104,-69.699473
69,-0.203475,-64.482079,17,0,-1,3.5,1.75,5.25,-0.23142,-62.732302,-0.119641,-69.731409
70,-2.205825,-64.513489,17,0,-1,3.5,1.75,5.25,-2.231173,-62.763672,-2.12978,-69.762938
71,-4.212667,-64.538536,17,0,-1,3.5,1.75,5.25,-4.231016,-62.788632,-4.157622,-69.788248
72,-6.213339,-64.559402,7,0,1,3.5,1.75,5.25,-6.231566,-62.809497,-6.158661,-69.809118
